Codigo,Nome,Ind_Melhor_Modelo,Ind_RMSE,Ind_MAE,Ind_MAPE,Grupo_Sinal,Cluster_ID,Pooled_Ridge_RMSE,Pooled_Ridge_MAE,Pooled_Ridge_MAPE,Pooled_SVR_RMSE,Pooled_SVR_MAE,Pooled_SVR_MAPE,Pooled_MLP_RMSE,Pooled_MLP_MAE,Pooled_MLP_MAPE,Pooled_Melhor_Modelo,Pooled_Melhor_RMSE,LGBM_Cluster_RMSE,LGBM_Cluster_MAE,LGBM_Cluster_MAPE,N_Treino,N_Holdout,Global_Ridge_RMSE,Global_Ridge_MAE,Global_Ridge_MAPE,Global_RF_RMSE,Global_RF_MAE,Global_RF_MAPE,Global_MLP_RMSE,Global_MLP_MAE,Global_MLP_MAPE,Global_LGBM_RMSE,Global_LGBM_MAE,Global_LGBM_MAPE,Global_Chronos_RMSE,Global_Chronos_MAE,Global_Chronos_MAPE,Global_Melhor_Modelo,Global_Melhor_RMSE,_Pooled_Melhor_MAPE,_Global_Melhor_MAPE,_Global_Melhor_com_Chronos_MAPE,_Oracle_RMSE,_Oracle_MAPE
569004611,CONVÊNIO PAR TERMO DE COMPROMISSO - 99-3 / 2018 BN - 99-3 / 2018,MLP,897.9556373024427,720.8604882247624,21.324760893173547,apenas_positivos,1,5541.99,4987.82,211.6041,814.82,677.03,22.6299,2649.79,2146.43,74.4102,SVR,814.82,6458.45,5724.79,242.8257,69,12,5096.02731955234,4646.696455537795,195.89613018977025,5421.715467233923,4522.398979477161,201.931192048175,4648.016971313636,3753.05429319092,171.6813095288825,5173.533973826425,4515.748967708702,196.16753871117567,1140.2762619557882,1017.4632771809896,42.98814232886944,Chronos,1140.2762619557882,22.6299,171.6813095288825,42.98814232886944,814.82,22.6299
569005039,CONVÊNIO PAR TERMO DE COMPROMISSO - EMENDA PARLAME - 3832-3/2021,ARIMA,1.4351821639502909,1.119475004220012,3.9675058660801095,apenas_positivos,1,5.57,5.03,17.8654,4.35,3.98,14.1802,3.87,3.41,12.0413,MLP,3.87,4.6,4.27,15.2325,23,5,4.693769173438839,4.41786513815256,15.803627268418104,5.105704552795237,4.737042445445299,16.89756756700035,5.078280496728979,4.529121631393403,16.048740562772394,4.945750721898215,4.635963481300131,16.56967839414647,4.27291583650234,3.8118480682373046,13.496198834255562,Chronos,4.27291583650234,12.0413,15.803627268418104,13.496198834255562,3.87,12.0413
570003601,CONVÊNIO ARQUIVO PÚBLICO - 9209042/2010,MLP,239.5009228890652,213.24714630080044,6.96298256171755,apenas_positivos,1,331.94,293.11,9.1199,2380.85,2039.44,56.5731,585.91,430.72,11.6455,Ridge,331.94,531.46,468.68,15.2398,61,12,342.491696422429,301.58567538275645,9.35640774059834,174.9737385026112,134.66778535003337,4.292267231827709,645.2117162851865,436.01099600941296,11.772903557469323,553.8307650971223,477.09437718018506,14.62636212833667,1059.180386959792,876.5016072591146,24.149098257762223,RF,174.9737385026112,9.1199,4.292267231827709,4.292267231827709,174.9737385026112,4.292267231827709
600002083,CONVÊNIO PROGRAMA EXTRA TETO PÓLIO - PORTARIA Nº 1045/04,MLP,32.616280905792884,18.46170293230717,14.73497796066978,apenas_positivos,1,32.9,29.35,28.8486,44.64,29.22,23.7822,64.47,51.52,47.2846,Ridge,32.9,36.73,34.78,36.4552,57,12,32.96298135079471,29.7672188360721,29.59292514565483,36.09474885043755,34.380137333735824,35.86657578395081,33.84484983695808,31.26426526953045,32.35402511962218,37.76886677511969,35.15808824176169,36.18213379895145,39.711711796398426,22.98167355855306,17.38599835543436,Ridge,32.96298135079471,28.8486,29.59292514565483,29.59292514565483,32.9,28.8486
600002199,CONVÊNIO PROGRAMA AGENTES COMUNITÁRIOS DE SAÚDE -  - PORTARIA Nº 2.474/04,MLP,10.015041909042706,7.614575741361167,27.68315267321329,positivos_e_negativos,0,118.96,109.81,472.1079,15.62,10.5,44.9,275.92,240.46,870.1258,LGBM,15.37,15.37,11.99,47.5014,52,12,255.4148937980437,241.694914415564,923.1312958668198,269.8037622664466,224.7211093142138,789.4552432801477,178.8949959822733,152.54775498019532,549.0779262284038,192.9659967606372,149.10770022753766,518.6141013632994,14.036653177415706,10.050708770751951,29.737677741575546,Chronos,14.036653177415706,47.5014,549.0779262284038,29.737677741575546,14.036653177415706,29.737677741575546
600002345,CONVÊNIO PROGRAMA EXTRA TETO IDOSO/2006 - PORTARIA Nº 1.343/2006,MLP,475.09774539252857,460.6025425286997,47.17796960869556,apenas_positivos,1,3448.15,3205.48,318.3822,1190.31,970.5,87.7782,1340.42,1126.45,117.3791,LGBM,454.0,454.0,404.96,42.1375,47,11,3314.6280668317468,3089.725142622586,308.5964726254385,3205.2026307809942,2579.827602473059,260.18500587690704,863.2225429060145,694.6037218636851,75.01195980042671,2027.1023110251165,1548.7703426754458,160.75807304733826,524.885004057396,345.52930242365056,23.59382317690704,Chronos,524.885004057396,42.1375,75.01195980042671,23.59382317690704,454.0,42.1375
600003885,CONVÊNIO PVVPS - PORTARIA Nº 2.849/2011,SVR,16.482065758067183,16.111578928912472,18796.38638338669,apenas_positivos,1,1166.2,1106.27,1282923.0171,335.95,320.1,367738.9939,384.88,339.76,413365.2588,LGBM,122.99,122.99,113.54,138812.6027,31,7,1158.497003216852,1101.436029250001,1282341.9523469862,39.578864413559664,31.57795927299011,37789.35154093264,191.2955981483705,188.2166200958184,227066.8489776416,684.2287198051415,558.1774565476911,644941.9196908888,0.0525036750413282,0.0511349013873509,63.9318431241618,Chronos,0.0525036750413282,138812.6027,37789.35154093264,63.9318431241618,0.0525036750413282,63.9318431241618
600003904,CONVÊNIO VIGILÂNCIA EM SAÚDE - FINLACEN-VISA - PORTARIA MS Nº 2.982/2011,ARIMA,964.3342581686172,852.282242219057,12.27666791604417,apenas_positivos,1,698.86,624.02,9.0519,2419.48,2178.98,31.5578,1052.28,981.87,14.3803,Ridge,698.86,723.72,643.13,9.2942,70,12,746.3179720042662,658.3782636537691,9.531388944126896,369.8388530706662,310.4757247776185,4.591963868614365,1312.954878784681,1077.242293834147,15.379605125029268,1349.7478306878495,1231.215230581922,17.857337876730664,1255.311054997186,1112.8839111328125,16.032694338391558,RF,369.8388530706662,9.0519,4.591963868614365,4.591963868614365,369.8388530706662,4.591963868614365
600004296,CONVÊNIO PROFAPS - PORTARIAS Nº 3189,ARIMA,4789.240197874782,2633.25678419556,16.56071357835002,apenas_positivos,1,5844.83,5607.74,51.7936,9559.16,7862.52,63.3701,7940.37,6255.05,50.4579,Ridge,5844.83,7756.65,7379.14,71.4975,48,12,6276.494607918312,5956.52541274362,55.82337693841971,9481.324514659638,8500.137160119184,83.91960720684428,4012.264034652796,2698.137433799562,19.65535321008328,5197.632370493237,5017.841113885787,44.97122852639825,7005.78881842803,5583.770426432292,43.35474712631429,MLP,4012.264034652796,51.7936,19.65535321008328,19.65535321008328,4012.264034652796,19.65535321008328
600004310,CONVÊNIO SES/PE PNA-CNCDO (CENTRAL DE TRANSPLANTE) - PORTARIA MS Nº 207/14,SVR,668.6192880723928,592.1376894194336,1657.8925714623804,apenas_positivos,1,15869.51,15437.56,45613.5571,3081.8,2577.28,7318.7651,3803.77,3258.91,10024.9982,SVR,3081.8,11845.73,10059.69,27775.2361,50,12,13060.352864043747,12275.18158743812,35627.216078235986,12278.326362600694,10352.867744656349,28434.91784831835,7104.285376805171,5615.143871260389,15546.654967769737,11643.410387038277,9952.868794640892,27548.48718170507,33.99700989238354,33.492499669392906,100.0,Chronos,33.99700989238354,7318.7651,15546.654967769737,100.0,33.99700989238354,100.0
