timestamp,Codigo,Nome,Grupo_Sinal,N_Total,N_Treino,N_Holdout,N_Lags,Modelo,Parametros,RMSE,MAE,MAPE,Selecionado,Ruido_Branco,LB_Pvalor,Lags_Sig_PACF,Metodo_Lags
20260527_095838,552004599,CONVÊNIO PNAE - MERENDA ESCOLAR 2 -,apenas_positivos,72,60,12,8,ARIMA,"(0,1,3)",287.4503273963514,284.47405560231965,1077.1654665799986,False,False,5.31106360210416e-22,"[1, 2, 3, 8]",pacf
20260527_095838,552004599,CONVÊNIO PNAE - MERENDA ESCOLAR 2 -,apenas_positivos,72,60,12,8,LR,Ridge(alpha=0.01),4318.461706309633,4125.281254755433,17306.472593387574,False,False,5.31106360210416e-22,"[1, 2, 3, 8]",pacf
20260527_095838,552004599,CONVÊNIO PNAE - MERENDA ESCOLAR 2 -,apenas_positivos,72,60,12,8,SVR,"{'C': 0.1, 'epsilon': 0.01, 'kernel': 'linear'}",207.99281151594303,202.76586803272605,980.25657877937,True,False,5.31106360210416e-22,"[1, 2, 3, 8]",pacf
20260527_095838,552004599,CONVÊNIO PNAE - MERENDA ESCOLAR 2 -,apenas_positivos,72,60,12,8,MLP,"{'hidden_layer_sizes': (100,), 'alpha': 0.0001, 'learning_rate_init': 0.001}",3944.2073600029194,3894.3029768992433,17067.218206367703,False,False,5.31106360210416e-22,"[1, 2, 3, 8]",pacf
20260527_095838,552004762,CONVÊNIO PNAE - CARTÃO - RESOLUÇÃO Nº 04 DE 03/04/2015,apenas_positivos,72,60,12,0,N/A,N/A,,,,False,True,0.9579239311847599,[],nenhum
20260527_095838,553000000,TRANSFERÊNCIAS DE RECURSOS DO FNDE REFERENTES AO PROGRAMA NACIONAL DE APOIO AO TRANSPORTE ESCOLAR (PNATE),apenas_positivos,12,9,3,0,N/A,N/A,,,,False,True,0.9986838617192432,[],nenhum
20260527_095838,553004063,CONVÊNIO PNATE - PROGRAMA DE APOIO AO TRANSPORTE E - RESOLUÇÃO/CD/FNDE NO. 12/2011,apenas_positivos,81,69,12,0,N/A,N/A,,,,False,True,0.3446530957086399,[4],nenhum
20260527_095838,569003318,CONVÊNIO PAR INFRAESTRUTURA II - REFORMA E AMPLIAÇ - 700086/2008,apenas_positivos,45,36,9,0,N/A,N/A,,,,False,True,0.09465162049463002,[1],nenhum
20260527_095838,569003619,CONVÊNIO PAR BRASIL PROFISSIONALIZADO INFRAESTRUTU -,apenas_positivos,81,69,12,9,ARIMA,"(1,1,3)",21152.552670151184,17159.10788734528,15.787394300425673,True,False,3.0248669527445754e-103,"[1, 2, 3, 9]",pacf
20260527_095838,569003619,CONVÊNIO PAR BRASIL PROFISSIONALIZADO INFRAESTRUTU -,apenas_positivos,81,69,12,9,LR,Ridge(alpha=10.0),27291.019250953497,22732.445797879976,20.93518097607975,False,False,3.0248669527445754e-103,"[1, 2, 3, 9]",pacf
20260527_095838,569003619,CONVÊNIO PAR BRASIL PROFISSIONALIZADO INFRAESTRUTU -,apenas_positivos,81,69,12,9,SVR,"{'C': 10, 'epsilon': 0.1, 'kernel': 'linear'}",30100.193368007007,24835.35533667431,22.832140405292687,False,False,3.0248669527445754e-103,"[1, 2, 3, 9]",pacf
20260527_095838,569003619,CONVÊNIO PAR BRASIL PROFISSIONALIZADO INFRAESTRUTU -,apenas_positivos,81,69,12,9,MLP,"{'hidden_layer_sizes': (100, 50), 'alpha': 0.01, 'learning_rate_init': 0.01}",26650.819286779173,22175.33477934411,20.41518918056231,False,False,3.0248669527445754e-103,"[1, 2, 3, 9]",pacf
20260527_095838,569003863,CONVÊNIO PAC 2 CONSTRUÇÃO DE QUADRAS I - PAC 2442/2011,positivos_e_negativos,80,68,12,3,ARIMA,"(0,1,2)",37949.992336183925,22780.76895555161,41.29181133820783,False,False,8.183452272656283e-44,"[1, 3]",pacf
20260527_095838,569003863,CONVÊNIO PAC 2 CONSTRUÇÃO DE QUADRAS I - PAC 2442/2011,positivos_e_negativos,80,68,12,3,LR,Ridge(alpha=0.01),37581.82947271633,24882.346798754123,43.169435694706216,False,False,8.183452272656283e-44,"[1, 3]",pacf
20260527_095838,569003863,CONVÊNIO PAC 2 CONSTRUÇÃO DE QUADRAS I - PAC 2442/2011,positivos_e_negativos,80,68,12,3,SVR,"{'C': 100, 'epsilon': 0.01, 'kernel': 'linear'}",37378.01367602888,24410.67261098039,42.35295399914114,True,False,8.183452272656283e-44,"[1, 3]",pacf
20260527_095838,569003863,CONVÊNIO PAC 2 CONSTRUÇÃO DE QUADRAS I - PAC 2442/2011,positivos_e_negativos,80,68,12,3,MLP,"{'hidden_layer_sizes': (50,), 'alpha': 0.01, 'learning_rate_init': 0.001}",37922.27528983952,22910.562166174004,41.38193128526957,False,False,8.183452272656283e-44,"[1, 3]",pacf
20260527_095838,569003913,CONVÊNIO PAC 2 CONSTRUÇÃO DE QUADRAS II - 3583/2011,apenas_positivos,81,69,12,2,ARIMA,"(1,1,3)",6113.121385080832,4400.3439016102,44.73267684612293,True,False,5.6826814294965e-109,"[1, 2]",pacf
20260527_095838,569003913,CONVÊNIO PAC 2 CONSTRUÇÃO DE QUADRAS II - 3583/2011,apenas_positivos,81,69,12,2,LR,Ridge(alpha=1.0),6963.984793523598,5421.888572565257,47.52039762497267,False,False,5.6826814294965e-109,"[1, 2]",pacf
20260527_095838,569003913,CONVÊNIO PAC 2 CONSTRUÇÃO DE QUADRAS II - 3583/2011,apenas_positivos,81,69,12,2,SVR,"{'C': 1, 'epsilon': 0.01, 'kernel': 'linear'}",6705.383974891097,5127.286121041779,46.74881290489235,False,False,5.6826814294965e-109,"[1, 2]",pacf
20260527_095838,569003913,CONVÊNIO PAC 2 CONSTRUÇÃO DE QUADRAS II - 3583/2011,apenas_positivos,81,69,12,2,MLP,"{'hidden_layer_sizes': (50, 50), 'alpha': 0.001, 'learning_rate_init': 0.01}",6315.058096572337,4608.198828166272,45.283874161030454,False,False,5.6826814294965e-109,"[1, 2]",pacf
20260527_095838,569004064,CONVÊNIO PAR TERMO DE COMPROMISSO OBRAS II - BRASI - 10281/2013,apenas_positivos,80,68,12,0,N/A,N/A,,,,False,True,0.9792995890700068,[],nenhum
20260527_095838,569004243,CONVÊNIO PAR TERMO DE COMPROMISSO BRASIL PROFISSIO -,apenas_positivos,81,69,12,1,ARIMA,"(0,1,1)",2148.6722006388463,1802.0514135664787,21.932166798084737,False,False,6.138977536544281e-68,[1],pacf
20260527_095838,569004243,CONVÊNIO PAR TERMO DE COMPROMISSO BRASIL PROFISSIO -,apenas_positivos,81,69,12,1,LR,Ridge(alpha=0.01),2618.0647249218664,2222.8207277480874,27.136595346317545,False,False,6.138977536544281e-68,[1],pacf
20260527_095838,569004243,CONVÊNIO PAR TERMO DE COMPROMISSO BRASIL PROFISSIO -,apenas_positivos,81,69,12,1,SVR,"{'C': 100, 'epsilon': 0.1, 'kernel': 'linear'}",2494.9150467312143,2097.5951346545826,25.542906398425973,False,False,6.138977536544281e-68,[1],pacf
20260527_095838,569004243,CONVÊNIO PAR TERMO DE COMPROMISSO BRASIL PROFISSIO -,apenas_positivos,81,69,12,1,MLP,"{'hidden_layer_sizes': (50, 50), 'alpha': 0.0001, 'learning_rate_init': 0.01}",918.8211619934006,823.8969209297816,11.820661872472444,True,False,6.138977536544281e-68,[1],pacf
20260527_095838,569004279,CONVÊNIO PROGRAMA NACIONAL DE ACESSO AO ENSINO TÉC -,apenas_positivos,81,69,12,0,N/A,N/A,,,,False,True,0.9999999289731702,[],nenhum
20260527_095838,569004491,"CONVÊNIO PROGRAMA NACIONAL DE FOMENTO ÀS ESCOLAS D - RESOLUÇÃO Nº 7, DE 03/11/2016",positivos_e_negativos,80,68,12,0,N/A,N/A,,,,False,True,0.998730341188422,[],nenhum
20260527_095838,569004533,CONVÊNIO REFORMA DO AUDITÓRIO DO CAMPUS DA UPE EM  - 023017/2016,apenas_positivos,46,37,9,0,N/A,N/A,,,,False,True,0.9995012700627568,[],nenhum
20260527_095838,569004535,CONVÊNIO AQUISIÇÃO DE ACERVO BIBLIOGRÁFICO DA ÁREA - 022986/2016,apenas_positivos,44,36,8,0,N/A,N/A,,,,False,True,0.999999999980688,[],nenhum
20260527_095838,569004537,CONVÊNIO CONSTRUÇÃO DE ESPAÇO DE CONVIVÊNCIA NO CA - 022915/2016,apenas_positivos,72,60,12,0,N/A,N/A,,,,False,True,0.9999999994543513,[],nenhum
