Codigo,Nome,Grupo_Sinal,Cluster_ID,Membros_Total,Membros_Modelaveis,N_Lags_x,LB_Pvalor,Pooled_Ridge_RMSE,Pooled_Ridge_MAE,Pooled_Ridge_MAPE,Pooled_Ridge_Params,Pooled_SVR_RMSE,Pooled_SVR_MAE,Pooled_SVR_MAPE,Pooled_SVR_Params,Pooled_MLP_RMSE,Pooled_MLP_MAE,Pooled_MLP_MAPE,Pooled_MLP_Params,LGBM_Cluster_RMSE,LGBM_Cluster_MAE,LGBM_Cluster_MAPE,LGBM_Cluster_Params,Ind_Melhor_Modelo,Ind_RMSE,Ind_MAE,Ind_MAPE,N_Treino,N_Holdout,N_Lags_y,Pooled_Melhor_Modelo,Pooled_Melhor_RMSE,Delta_RMSE_pct
600002083,CONVÊNIO PROGRAMA EXTRA TETO PÓLIO - PORTARIA Nº 1045/04,apenas_positivos,1,123,115,11,0.0,32.9,29.35,28.8486,alpha=0.01,44.64,29.22,23.7822,C=1  eps=0.1  kernel=rbf,64.47,51.52,47.2846,"layers=(100, 50)  alpha=0.01  lr=0.01",36.73,34.78,36.4552,n_est=118  membros=115,MLP,32.616280905792884,18.46170293230717,14.73497796066978,57,12,11,Ridge,32.9,0.87
600002199,CONVÊNIO PROGRAMA AGENTES COMUNITÁRIOS DE SAÚDE -  - PORTARIA Nº 2.474/04,positivos_e_negativos,0,243,18,2,0.0021,118.96,109.81,472.1079,alpha=0.01,15.62,10.5,44.9,C=1  eps=0.1  kernel=rbf,275.92,240.46,870.1258,"layers=(50, 50)  alpha=0.01  lr=0.01",15.37,11.99,47.5014,n_est=73  membros=18,MLP,10.015041909042706,7.614575741361167,27.68315267321329,52,12,2,LGBM,15.37,53.47
600002345,CONVÊNIO PROGRAMA EXTRA TETO IDOSO/2006 - PORTARIA Nº 1.343/2006,apenas_positivos,1,123,115,2,0.0,3448.15,3205.48,318.3822,alpha=0.01,1190.31,970.5,87.7782,C=1  eps=0.1  kernel=rbf,1340.42,1126.45,117.3791,"layers=(100,)  alpha=0.001  lr=0.01",454.0,404.96,42.1375,n_est=118  membros=115,MLP,475.09774539252857,460.6025425286997,47.17796960869556,47,11,2,LGBM,454.0,-4.44
600003885,CONVÊNIO PVVPS - PORTARIA Nº 2.849/2011,apenas_positivos,1,123,115,6,0.0,1166.2,1106.27,1282923.0171,alpha=0.01,335.95,320.1,367738.9939,C=1  eps=0.1  kernel=rbf,384.88,339.76,413365.2588,"layers=(100, 50)  alpha=0.0001  lr=0.001",122.99,113.54,138812.6027,n_est=118  membros=115,SVR,16.482065758067183,16.111578928912472,18796.38638338669,31,7,6,LGBM,122.99,646.21
600003904,CONVÊNIO VIGILÂNCIA EM SAÚDE - FINLACEN-VISA - PORTARIA MS Nº 2.982/2011,apenas_positivos,1,123,115,9,0.0,698.86,624.02,9.0519,alpha=0.01,2419.48,2178.98,31.5578,C=1  eps=0.1  kernel=rbf,1052.28,981.87,14.3803,"layers=(50, 50)  alpha=0.0001  lr=0.001",723.72,643.13,9.2942,n_est=118  membros=115,ARIMA,964.3342581686172,852.282242219057,12.27666791604417,70,12,9,Ridge,698.86,-27.53
600004296,CONVÊNIO PROFAPS - PORTARIAS Nº 3189,apenas_positivos,1,123,115,2,0.0,5844.83,5607.74,51.7936,alpha=0.01,9559.16,7862.52,63.3701,C=1  eps=0.1  kernel=rbf,7940.37,6255.05,50.4579,"layers=(100,)  alpha=0.001  lr=0.01",7756.65,7379.14,71.4975,n_est=118  membros=115,ARIMA,4789.240197874782,2633.25678419556,16.56071357835002,48,12,2,Ridge,5844.83,22.04
600004310,CONVÊNIO SES/PE PNA-CNCDO (CENTRAL DE TRANSPLANTE) - PORTARIA MS Nº 207/14,apenas_positivos,1,123,115,1,0.0,15869.51,15437.56,45613.5571,alpha=0.01,3081.8,2577.28,7318.7651,C=1  eps=0.1  kernel=rbf,3803.77,3258.91,10024.9982,"layers=(50, 50)  alpha=0.01  lr=0.01",11845.73,10059.69,27775.2361,n_est=118  membros=115,SVR,668.6192880723928,592.1376894194336,1657.8925714623804,50,12,1,SVR,3081.8,360.92
600004435,CONVÊNIO PROGRAMA FINLACEN -,apenas_positivos,1,123,115,2,0.0,24928.76,23791.38,1325.7556,alpha=0.01,7777.87,6596.79,366.9204,C=1  eps=0.1  kernel=rbf,7140.55,5995.03,327.0321,"layers=(100,)  alpha=0.001  lr=0.01",2149.34,1841.33,114.4621,n_est=118  membros=115,ARIMA,809.6722199019571,551.4950560253261,22.263614143422863,70,12,2,LGBM,2149.34,165.46
600004439,CONVÊNIO PRÓ-RESIDÊNCIA MÉDICA - PORTARIA Nº 961/2015,apenas_positivos,1,123,115,2,0.0,126706.58,62678.58,247.9724,alpha=0.01,144090.74,77311.9,137.6516,C=1  eps=0.1  kernel=rbf,155827.69,85828.31,96.3776,"layers=(100,)  alpha=0.001  lr=0.01",123604.69,60259.45,269.3094,n_est=118  membros=115,MLP,131389.27279033285,65642.45821727028,217.3111383207911,62,12,2,LGBM,123604.69,-5.92
600004441,CONVÊNIO FN-SUS/MICROCEFALIA/LACEN-PE - PORT. INTERM. Nº 405/2016,apenas_positivos,1,123,115,9,0.0,649.05,575.45,8.025,alpha=0.01,2615.61,2355.95,32.8958,C=1  eps=0.1  kernel=rbf,956.19,877.08,12.342,"layers=(50, 50)  alpha=0.0001  lr=0.001",963.87,822.89,11.3529,n_est=118  membros=115,ARIMA,1274.9578114149765,1136.3243299815156,15.820019924723796,70,12,9,Ridge,649.05,-49.09
